Date,Real,Naive,SNaive7,"ARIMA(1, 1, 1)"
2023-10-04,27799.39453125,27429.978515625,26352.716796875,29177.787844599836
2023-10-05,27415.912109375,27799.39453125,27021.546875,29177.787844599836
2023-10-06,27946.59765625,27415.912109375,26911.720703125,29177.787844599836
2023-10-07,27968.83984375,27946.59765625,26967.916015625,29177.787844599836
2023-10-08,27935.08984375,27968.83984375,27983.75,29177.787844599836
2023-10-09,27583.677734375,27935.08984375,27530.78515625,29177.787844599836
2023-10-10,27391.01953125,27583.677734375,27429.978515625,29177.787844599836
2023-10-11,26873.3203125,27391.01953125,27799.39453125,29177.787844599836
2023-10-12,26756.798828125,26873.3203125,27415.912109375,29177.787844599836
2023-10-13,26862.375,26756.798828125,27946.59765625,29177.787844599836
2023-10-14,26861.70703125,26862.375,27968.83984375,29177.787844599836
2023-10-15,27159.65234375,26861.70703125,27935.08984375,29177.787844599836
2023-10-16,28519.466796875,27159.65234375,27583.677734375,29177.787844599836
2023-10-17,28415.748046875,28519.466796875,27391.01953125,29177.787844599836
2023-10-18,28328.341796875,28415.748046875,26873.3203125,29177.787844599836
2023-10-19,28719.806640625,28328.341796875,26756.798828125,29177.787844599836
2023-10-20,29682.94921875,28719.806640625,26862.375,29177.787844599836
2023-10-21,29918.412109375,29682.94921875,26861.70703125,29177.787844599836
2023-10-22,29993.896484375,29918.412109375,27159.65234375,29177.787844599836
2023-10-23,33086.234375,29993.896484375,28519.466796875,29177.787844599836
2023-10-24,33901.52734375,33086.234375,28415.748046875,29177.787844599836
2023-10-25,34502.8203125,33901.52734375,28328.341796875,29177.787844599836
2023-10-26,34156.6484375,34502.8203125,28719.806640625,29177.787844599836
2023-10-27,33909.80078125,34156.6484375,29682.94921875,29177.787844599836
2023-10-28,34089.57421875,33909.80078125,29918.412109375,29177.787844599836
2023-10-29,34538.48046875,34089.57421875,29993.896484375,29177.787844599836
2023-10-30,34502.36328125,34538.48046875,33086.234375,29177.787844599836
2023-10-31,34667.78125,34502.36328125,33901.52734375,29177.787844599836
2023-11-01,35437.25390625,34667.78125,34502.8203125,29177.787844599836
2023-11-02,34938.2421875,35437.25390625,34156.6484375,29177.787844599836
2023-11-03,34732.32421875,34938.2421875,33909.80078125,29177.787844599836
2023-11-04,35082.1953125,34732.32421875,34089.57421875,29177.787844599836
2023-11-05,35049.35546875,35082.1953125,34538.48046875,29177.787844599836
2023-11-06,35037.37109375,35049.35546875,34502.36328125,29177.787844599836
2023-11-07,35443.5625,35037.37109375,34667.78125,29177.787844599836
2023-11-08,35655.27734375,35443.5625,35437.25390625,29177.787844599836
2023-11-09,36693.125,35655.27734375,34938.2421875,29177.787844599836
2023-11-10,37313.96875,36693.125,34732.32421875,29177.787844599836
2023-11-11,37138.05078125,37313.96875,35082.1953125,29177.787844599836
2023-11-12,37054.51953125,37138.05078125,35049.35546875,29177.787844599836
2023-11-13,36502.35546875,37054.51953125,35037.37109375,29177.787844599836
2023-11-14,35537.640625,36502.35546875,35443.5625,29177.787844599836
2023-11-15,37880.58203125,35537.640625,35655.27734375,29177.787844599836
2023-11-16,36154.76953125,37880.58203125,36693.125,29177.787844599836
2023-11-17,36596.68359375,36154.76953125,37313.96875,29177.787844599836
2023-11-18,36585.703125,36596.68359375,37138.05078125,29177.787844599836
2023-11-19,37386.546875,36585.703125,37054.51953125,29177.787844599836
2023-11-20,37476.95703125,37386.546875,36502.35546875,29177.787844599836
2023-11-21,35813.8125,37476.95703125,35537.640625,29177.787844599836
2023-11-22,37432.33984375,35813.8125,37880.58203125,29177.787844599836
2023-11-23,37289.62109375,37432.33984375,36154.76953125,29177.787844599836
2023-11-24,37720.28125,37289.62109375,36596.68359375,29177.787844599836
2023-11-25,37796.79296875,37720.28125,36585.703125,29177.787844599836
2023-11-26,37479.12109375,37796.79296875,37386.546875,29177.787844599836
2023-11-27,37254.16796875,37479.12109375,37476.95703125,29177.787844599836
2023-11-28,37831.0859375,37254.16796875,35813.8125,29177.787844599836
2023-11-29,37858.4921875,37831.0859375,37432.33984375,29177.787844599836
2023-11-30,37712.74609375,37858.4921875,37289.62109375,29177.787844599836
2023-12-01,38688.75,37712.74609375,37720.28125,29177.787844599836
2023-12-02,39476.33203125,38688.75,37796.79296875,29177.787844599836
2023-12-03,39978.390625,39476.33203125,37479.12109375,29177.787844599836
2023-12-04,41980.09765625,39978.390625,37254.16796875,29177.787844599836
2023-12-05,44080.6484375,41980.09765625,37831.0859375,29177.787844599836
2023-12-06,43746.4453125,44080.6484375,37858.4921875,29177.787844599836
2023-12-07,43292.6640625,43746.4453125,37712.74609375,29177.787844599836
2023-12-08,44166.6015625,43292.6640625,38688.75,29177.787844599836
2023-12-09,43725.984375,44166.6015625,39476.33203125,29177.787844599836
2023-12-10,43779.69921875,43725.984375,39978.390625,29177.787844599836
2023-12-11,41243.83203125,43779.69921875,41980.09765625,29177.787844599836
2023-12-12,41450.22265625,41243.83203125,44080.6484375,29177.787844599836
2023-12-13,42890.7421875,41450.22265625,43746.4453125,29177.787844599836
2023-12-14,43023.97265625,42890.7421875,43292.6640625,29177.787844599836
2023-12-15,41929.7578125,43023.97265625,44166.6015625,29177.787844599836
2023-12-16,42240.1171875,41929.7578125,43725.984375,29177.787844599836
2023-12-17,41364.6640625,42240.1171875,43779.69921875,29177.787844599836
2023-12-18,42623.5390625,41364.6640625,41243.83203125,29177.787844599836
2023-12-19,42270.52734375,42623.5390625,41450.22265625,29177.787844599836
2023-12-20,43652.25,42270.52734375,42890.7421875,29177.787844599836
2023-12-21,43869.15234375,43652.25,43023.97265625,29177.787844599836
2023-12-22,43997.90234375,43869.15234375,41929.7578125,29177.787844599836
2023-12-23,43739.54296875,43997.90234375,42240.1171875,29177.787844599836
2023-12-24,43016.1171875,43739.54296875,41364.6640625,29177.787844599836
2023-12-25,43613.140625,43016.1171875,42623.5390625,29177.787844599836
2023-12-26,42520.40234375,43613.140625,42270.52734375,29177.787844599836
2023-12-27,43442.85546875,42520.40234375,43652.25,29177.787844599836
2023-12-28,42627.85546875,43442.85546875,43869.15234375,29177.787844599836
2023-12-29,42099.40234375,42627.85546875,43997.90234375,29177.787844599836
