model,MAPE,MAE,RMSE
GRU_u100_d0.3_b64,2.1093884302384103,1972.8079978813566,2611.0203516005035
GRU_u50_d0.2_b32,2.4046205762447306,2249.352842514125,2934.067114953101
LSTM_u50_d0.2_b32,2.6543984392996185,2485.1917372881358,3282.3264958507507
LSTM_u100_d0.3_b64,2.7744889177250287,2618.3473252118642,3370.0524714237035
