idx,mape,mae,rmse,dir_real,dir_pred,dir_correct,var_preds,plot
1266,3.5213318810296808,1320.0088539481428,1420.9756431761919,1,-1,0,49560.10779710697,outputs/debug_reports\test_idx_1266_dias7.png
1569,8.290767761911217,5221.597020868079,5481.201210091492,1,-1,0,344756.699917443,outputs/debug_reports\test_idx_1569_dias7.png
1059,4.565086112864578,1327.8227014471147,1402.1118456504062,1,-1,0,20708.9258125799,outputs/debug_reports\test_idx_1059_dias7.png
967,2.30875350907151,537.2925832553327,644.4618539228296,1,-1,0,17116.867122444182,outputs/debug_reports\test_idx_967_dias7.png
1244,3.028133483025926,1056.5065932438843,1190.5324765105897,1,-1,0,43096.276452048776,outputs/debug_reports\test_idx_1244_dias7.png
265,11.100707029616157,5337.168816834289,5902.011266987102,-1,-1,1,182798.2167214627,outputs/debug_reports\test_idx_265_dias7.png
1744,7.56107664257135,6310.76073333182,6581.435813127119,1,-1,0,1557519.0470766418,outputs/debug_reports\test_idx_1744_dias7.png
1521,8.444220472007311,4835.281196986059,5807.682802205051,-1,-1,1,587070.3691812159,outputs/debug_reports\test_idx_1521_dias7.png
571,3.020305566604865,1473.9361249534413,1522.1445818855539,-1,-1,1,111872.91970195874,outputs/debug_reports\test_idx_571_dias7.png
1686,8.651726424149702,8791.681517287823,10409.798361746849,1,-1,0,2846886.4164743614,outputs/debug_reports\test_idx_1686_dias7.png
369,4.995008340639673,1720.4728183879383,2213.1320953920685,1,-1,0,69036.05589629749,outputs/debug_reports\test_idx_369_dias7.png
1197,3.260441048479188,859.609187813445,939.4992565469443,1,-1,0,23859.400378491173,outputs/debug_reports\test_idx_1197_dias7.png
1547,5.61576462338659,3310.806482195854,3492.9983635060016,-1,-1,1,429210.5711878526,outputs/debug_reports\test_idx_1547_dias7.png
736,8.867867885104735,2221.4139614196,3282.124814367361,-1,-1,1,20839.32225865086,outputs/debug_reports\test_idx_736_dias7.png
548,7.457891216354713,3754.4391616979347,4527.562003406636,-1,-1,1,268348.5089190018,outputs/debug_reports\test_idx_548_dias7.png
885,7.1535047652609025,1298.5918760941802,1725.2094216425269,-1,-1,1,20640.45492040207,outputs/debug_reports\test_idx_885_dias7.png
890,20.96200592305824,3516.1178603318117,3593.368264537162,-1,-1,1,21544.169812292435,outputs/debug_reports\test_idx_890_dias7.png
1335,5.3983627861092245,2314.2297875541926,2400.066891160713,1,-1,0,51239.381867116965,outputs/debug_reports\test_idx_1335_dias7.png
1001,1.7851581018702347,408.3030185011609,445.8406515879844,-1,-1,1,18993.243932710677,outputs/debug_reports\test_idx_1001_dias7.png
350,18.185937489490826,6860.649229746312,7383.20743833011,-1,-1,1,161204.78642522395,outputs/debug_reports\test_idx_350_dias7.png
1680,2.2778344156378525,2209.034901100344,2719.7519194658275,-1,-1,1,3534754.419592851,outputs/debug_reports\test_idx_1680_dias7.png
1135,1.8899790336463458,580.855023993715,685.8227710445098,-1,-1,1,28887.030897585915,outputs/debug_reports\test_idx_1135_dias7.png
993,1.5785809938015694,372.7969724974646,502.3142844484511,-1,-1,1,16518.347184331975,outputs/debug_reports\test_idx_993_dias7.png
1373,5.1594471624358045,3574.6178740372084,4342.090571915668,1,-1,0,370568.51050101046,outputs/debug_reports\test_idx_1373_dias7.png
1794,5.356308497782393,5135.742367234081,5556.047311649757,1,-1,0,2923626.357684591,outputs/debug_reports\test_idx_1794_dias7.png
888,15.354010978437813,2606.5477247758677,3112.322424514818,-1,-1,1,13510.398498209359,outputs/debug_reports\test_idx_888_dias7.png
233,9.389670071876646,3013.0412805444294,3270.1256894812727,-1,-1,1,49925.26321045058,outputs/debug_reports\test_idx_233_dias7.png
587,3.831401905783125,1652.0716488586206,1890.61257962759,1,-1,0,92921.6250048716,outputs/debug_reports\test_idx_587_dias7.png
1400,2.4104938230868656,1609.093722522791,2170.536202031671,-1,-1,1,658425.3052133856,outputs/debug_reports\test_idx_1400_dias7.png
380,12.475894233360894,4249.838527431978,4757.424856159943,-1,-1,1,48473.73310839934,outputs/debug_reports\test_idx_380_dias7.png
1486,2.606785689944543,1624.1785828990064,2114.388950956701,1,-1,0,381480.33760438144,outputs/debug_reports\test_idx_1486_dias7.png
944,3.112295729703915,524.6926765788337,581.8139778190425,1,-1,0,16641.504356116584,outputs/debug_reports\test_idx_944_dias7.png
226,6.65162985373198,2473.8992520063516,2639.040110032626,-1,-1,1,111192.4465064661,outputs/debug_reports\test_idx_226_dias7.png
920,3.978417585952644,696.2745318328333,803.6195801843007,1,-1,0,17599.775172409634,outputs/debug_reports\test_idx_920_dias7.png
669,1.8958168401822815,846.3160436415512,1058.4062451376744,-1,-1,1,143199.32954411264,outputs/debug_reports\test_idx_669_dias7.png
1030,3.641051875970897,1027.8684842680673,1114.1382551499237,1,-1,0,30401.28314281835,outputs/debug_reports\test_idx_1030_dias7.png
